Away_Team_Name,Home_Team_Name,Home_Team_Score,Away_Team_Score,Total_Score,Home_Money_Line,Away_Money_Line,Home_Point_Spread,Away_Point_Spread,Home_Point_Spread_Payout,Away_Point_Spread_Payout
TEN,JAX,32,11,43,179,-197,3.8,-2.4,-163,-173
CIN,BUF,34,27,61,-402,351,-8.8,14.1,-170,-167
MIA,DAL,50,15,59,-3914,2264,-34.4,34.4,-176,160
DEN,GB,43,26,69,-516,440,-11.2,11.2,-162,-175
ATL,IND,43,38,82,-192,175,-1.6,2.6,-184,167
BAL,KC,53,45,98,-347,307,-7.2,11.5,-163,-173
OAK,MIN,54,22,77,-647,538,-13.6,13.6,-168,-168
NYJ,NE,48,22,70,-3196,1950,-32.8,32.8,-168,-168
DET,PHI,38,43,82,-341,301,-6.4,10.3,-171,-165
CAR,ARI,32,61,93,-210,189,-4.0,6.4,165,-183
NYG,TB,50,51,101,-359,317,-8.0,12.8,-170,-167
HOU,LAC,32,43,75,-259,232,-4.8,7.7,-178,160
PIT,SF,38,32,70,-455,392,-9.6,15.4,-170,-168
NO,SEA,43,53,96,-370,325,-8.0,12.8,-171,-167
LAR,CLE,21,32,53,295,-333,10.3,-6.4,-163,-173
CHI,WAS,24,50,74,323,-367,12.8,-8.0,-171,-165
