ScoreId,Week,Away_Team_Name,Home_Team_Name,Home_Team_Score,Away_Team_Score,Total_Score,Home_Money_Line,Away_Money_Line,Home_Point_Spread,Away_Point_Spread,Home_Point_Spread_Payout,Away_Point_Spread_Payout
17061,5,NYG,NE,42,17,58,-1259,890,-19.6,19.6,-123,-127
17062,5,CAR,TB,31,44,75,130,-144,2.8,-2.4,-136,123
17063,5,SEA,CLE,33,38,71,-133,121,-1.2,1.4,-125,-125
17064,5,HOU,KC,29,37,65,-221,198,-4.2,5,-123,-127
17065,5,WAS,MIA,19,20,39,252,-288,8.5,-7.1,-129,-121
17066,5,PHI,MIN,45,24,69,-211,188,-4.2,5,124,-137
17067,5,NO,JAX,8,15,23,-173,156,-3,3.5,-138,125
17068,5,CIN,BAL,27,20,48,-641,512,-12.5,12.5,-127,-123
17069,5,SF,LAR,10,24,32,-193,174,-3.6,4.2,-133,121
17070,5,ATL,ARI,40,39,80,173,-192,4.2,-3.6,-123,-127
17071,5,TEN,DEN,19,0,19,-131,-119,-1.8,2.1,124,-137
17072,5,DAL,NYJ,29,26,55,326,-382,9.9,-8.3,-127,-123
17073,5,PIT,LAC,20,29,49,-336,290,-7.1,8.5,-131,119
17074,5,DET,GB,27,26,54,-221,198,-4.2,5,-123,-127
